letters,first major arabic name,first major english name,second major arabic name,second major english name,first job arabic name,first job english name,second job arabic name,second job english name,hobby arabic name,hobby english name,diploma arabic name,diploma english name,arabic description,english description
AVE,تخصص محاسبة التكاليف,cost accounting,تخصص الادارة المالية,financial management,كاتب حسابات,bookkeeper,مدير مالي,financial manager,هواية الطبخ,cooking hobby,دبلوم المحاسبة,accounting diploma,"متمركز حول الجودة. مغرم بالتفاصيل . بطيء، متأن. مركز، منهجي.
 منطقي، تحليلي. مُخطط منظم. لائق، دقيق. جاد، مسئول. تقليدي، محافظ. جاد،
متحفظ.
من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير
متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا
النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للإلتفات للجزئيات
، يقدرون الدقة جيدا، جديرون بالثقة.
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
يعتقد إن الإنتاجية أهم بكثير من المشاعر
 السعي وراء المعلومات ولو خارج تخصصه","this individual is quality-focused, detail-oriented, slow, and methodical. they are logical, analytical, and well-organized, with a preference for planning and structure. they are precise, serious, responsible, traditional, and reserved.

they value accuracy and seek out facts, often displaying an impassive demeanor at times. they have a strong ability to work with numbers and their interpretations. with a high capacity for reasoning and drawing conclusions about events, they believe productivity is far more important than emotions. they are driven to seek out information, even beyond their area of expertise, and they value reliability and thoroughness."
AVW,تخصص الاقتصاد,economics,تخصص علوم البيانات,data science,محاسب,accuntant,معالج بيانات,data processor,هواية ال(بريك دانس),break dance hobby,دبلوم المحاسبة,accounting diploma,"يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي. إبداعي،
ابتكاري.
 مرن، متعدد المواهب. يعالج عدة مهام، متكيف. عفوي، غير متماسك. حماسي،
ذو حس فكاهي.
 ذو روح متحررة، طليق. متمركز حول الفكرة
من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير
متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا
النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للإلتفات للجزئيات
، يقدرون الدقة جيدا، جديرون بالثقة
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارجتخصصه","this individual is adventurous, risk-taking, quick, energetic, and visionary, with an innovative and creative approach to life. they are adaptable, multi-talented, and able to handle multiple tasks at once, but they can also be spontaneous, unstructured, and full of enthusiasm. they have a free-spirited, liberated attitude, and their focus is often on ideas rather than details.

at the same time, they are highly efficient and practical, valuing accuracy and precision, and are driven by a strong sense of responsibility and ethics. they are logical, organized, and methodical, with a strong attention to detail. they value trustworthiness and the pursuit of truth, often seeking out facts and striving for productivity over emotional considerations. their ability to analyze situations, interpret data, and draw conclusions is one of their key strengths. additionally, they are curious, always willing to seek knowledge, even beyond their own field of expertise."
AVN,تخصص التمويل والاستثمار المالي,finance and investment,تخصص محاسبة التكاليف,cost accounting,مدقق مالي,financial auditor,محلل مالي,financial analyst,هواية الطبخ,cooking hobby,دبلوم المحاسبة,accounting diploma,"حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة.قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه.مدفوع بالعمل، جسور.
من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير
متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا
النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات
، يقدرون الدقة جيدا، جديرون بالثقة
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","this individual is decisive, assertive, and action-oriented, with a strong sense of self-confidence and control. they are goal-driven, ambitious, and have a direct, open, and strong-willed nature. competitive and determined, they are a hardworking leader who takes initiative and can be relied upon. their focus is on getting things done, and they are courageous in pursuing their objectives.

at the same time, they value efficiency and practicality, and they are not inclined to entertain abstract or speculative ideas. they are methodical, logical, and organized, with a keen eye for detail and accuracy. responsibility and integrity are central to their character, and they are trustworthy individuals who prioritize productivity over emotions. they also possess strong analytical abilities, able to assess situations, interpret data, and understand the potential consequences of actions. their pursuit of knowledge extends beyond their own field, as they are constantly seeking to learn and grow."
AVS,تخصص الكمياء التطبيقية والاشعة السينية,applied chemistry and x-ray technology,تخصص الادارة العامة,public administration,مهندس كيميائي,chemical engineer,مساعد اداري,manager assistant,هواية الطبخ,cooking hobby,دبلوم ادارة الأعمال,diploma in business management,"عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول
العملية. متفهم، صبور ، متعاون
من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير
متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا
النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للإلتفات للجزئيات
، يقدرون الدقة جيدا، جديرون بالثقة
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","this individual is a team player, sociable, friendly, and well-liked. they are patient, understanding, and cooperative, taking a relaxed and methodical approach to tasks. they tend to focus on processes and are thoughtful in their interactions.

in terms of their personality traits, they value consistency and are highly efficient and practical. they are not imaginative or flexible and tend to approach situations with a strong sense of responsibility and a solid moral compass. they are logical, organized, and methodical, paying close attention to details and emphasizing accuracy in their work. they can sometimes be emotionally reserved, focusing on facts and outcomes rather than feelings. their analytical skills are strong, and they excel in interpreting numbers and data to understand events and their potential consequences. above all, they prioritize productivity and the pursuit of knowledge, even beyond their area of expertise."
AVP,تخصص طب العلاج الطبيعي,physiotherapy,تخصص الصناعة النووية,nuclear engineering,منسق طبي,medical coordinator,متخصص هندسة نووية,nuclear engineering specialist,هواية الكتابة الإبداعية,creative writing hobby,دبلوم علاج طبيعي,diploma in physical therapy,"وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب
نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي
1 % من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في
كثير من الأحيان ،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به
من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير
متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا
النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات
، يقدرون الدقة جيدا، جديرون بالثقة
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
 السعي وراء المعلومات ولو خارج تخصصه","the description you provided seems to be addressing traits of individuals who might experience bipolar disorder and potentially adhd during childhood. the connection between this condition and creativity or genius is often mentioned due to the historical figures known for their brilliance and, at times, their struggles with mental health. 

people with such a personality tend to be methodical, focused on efficiency, and highly responsible. they are usually logical and organized, preferring to stick to facts and details. while they might appear emotionally distant at times, their drive for productivity and precision is evident in all their endeavors. their analytical skills allow them to excel in understanding patterns and interpreting complex data. even if they do not engage much with emotions, they prioritize logic, responsibility, and getting things done, often going beyond their immediate area of expertise in their search for knowledge. 

would you like to explore this personality further, or focus on any particular aspect?"
BVS,تخصص أدارة الخدمات الصحية,healthcare management,تخصص التاريخ والأثار ( أنثروبولوجيا ),history and archaeology (anthropology),فني سجلات طبية,medical records technician,متخصص آثار,archeology specialists,هواية البرمجة,programming hobby,دبلوم الصحة العامة,public health diploma,"عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول العملية. متفهم، صبور. متعاون
ومن سمات صاحب هذه الشخصية أنه: يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ، يقدرون الدقة جيدا، جديرون بالثقة
الحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","a team member, social, friendly, and well-liked. slow, relaxed, process-oriented. understanding, patient, and cooperative.  
the person with this personality is efficient, practical, unimaginative, and inflexible, with a strong sense of responsibility and a good conscience. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy, and are trustworthy.  
they are cautious and careful about consequences and risks, with precision in executing tasks step by step. they feel comfortable with sorting and organizing tasks, diligent, and reliable to others.  
they tend to act more than think, and organization, discipline, and planning, along with avoiding risk, are some of their most important traits."
BVP,تخصص علوم البيانات,data science,تخصص الفنون الموسيقية,musical arts,موظف ملفات,file employee,مايسترو,maestro,هواية الطبخ,cooking hobby,دبلوم شبكات الحاسب الآلي,computer networks diploma,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ، يقدرون الدقة جيدا، جديرون بالثقة
الحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته
وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في كثير من الأحيان، وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are cautious and careful about consequences and risks, with precision in executing tasks step by step. they feel comfortable in tasks of sorting and organizing, diligent, and dependable to others.  
they tend to act more than think, and organization, discipline, planning, and avoiding risk are some of their most important traits.  
there may be a potential presence of a bipolar disorder, which can cause attention deficit with hyperactivity in childhood. this disorder affects about 1% of the global population and is often an indicator of genius, as it is associated with many of history's great minds and geniuses."
BVN,التدريب الرياضي,sports coaching,تخصص أدارة المشاريع والنقل والتخزين,"project management, transportation, and warehousing",مصارع,wrestler,أمين مخازن,quartermaster,هواية التلوين,coloring hobby,دبلوم العلوم الرياضية,diploma in mathematical sciences,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ، يقدرون الدقة جيدا، جديرون بالثقة
 حاسم، مسيطر، ذاتي البدء.واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
ورغم ذلك يتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are decisive, controlling, self-starting, confident, and authoritative.  
they are goal-oriented, ambitious, open, direct, and determined. competitive, resolute, and a hardworking leader.  
they are work-oriented, reliable, driven by work, and courageous.  
however, they are also cautious and careful about consequences and risks, with precision in executing tasks step by step. they feel comfortable in tasks of sorting and organizing, diligent, and dependable to others.  
they tend to act more than think, and organization, discipline, planning, and avoiding risk are some of their most important traits."
BVW,الطب التجميلي والصيدلة,cosmetic medicine and pharmacy,تخصص البناء والتشييد,construction and building engineering,طبيب تجميل,plastic surgeon,فني إنشاءات,construction technician,هواية البرمجة,programming hobby,دبلوم علاج طبيعي,diploma in physical therapy,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ، يقدرون الدقة جيدا، جديرون بالثقة
 سريع، حيوي. ذو رؤية، غير تقليدي. إبداعي، ابتكاري.
 مرن، متعدد المواهب. يعالج عدة مهام، متكيف.
 حماسي، ذو حس فكاهي. ذو روح متحررة، طليق.
ورغم ذلك يتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are fast, energetic, visionary, unconventional, creative, and innovative.  
they are flexible, multi-talented, able to handle multiple tasks, and adaptable.  
they are enthusiastic, humorous, with a free spirit, and fluent in their approach.  
however, they are also cautious and careful about consequences and risks, with precision in executing tasks step by step.  
they feel comfortable in tasks of sorting and organizing, diligent, and reliable to others.  
they tend to act more than think, and organization, discipline, planning, and avoiding risk are some of their most important traits."
CVP,تخصص تقنية المعلومات,information technology,تخصص ترجمة لغات وآداب,translation and language studies,مفهرس مكتبة,library indexer,مترجم,translator,هواية الكروشيه,crochet hobby,دبلوم الإدارة المكتبية,diploma in office management,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ،
يقدرون الدقة جيدا، جديرون بالثقة .
جيد جدا فى تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم
وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في كثير من الأحيان ،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are very good at developing relationships with others and maintaining them.  
they excel at inspiring enthusiasm, are compassionate and kind, and enjoy being with others.  
generous, they love helping others with their time, money, or effort.  
they enjoy talking to people, listening to their problems, and trying to help them.  
there is a possibility that they may have a bipolar disorder, which could cause attention deficit and hyperactivity in childhood. this disorder affects about 1% of the global population and is often considered a sign of emerging genius, as many great historical figures and geniuses have been linked to it."
CVN,تخصص هندسة أمن وسلامة,safety and security engineering,تخصص الدراسات الامنية ( تدريب ),security studies (training),مهندس أمن وسلامة,security and safety engineer,شرطي,policeman,هواية التلوين,coloring hobby,دبلوم امن وسلامة,diploma in safety and security,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ،
يقدرون الدقة جيدا، جديرون بالثقة
 حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are decisive, controlling, fast-moving, self-starting, confident, and assertive.  
they are goal-oriented, ambitious, open, direct, and strong-willed.  
competitive and determined, they are hardworking leaders.  
they are work-oriented, reliable, driven, and courageous.  
they are very good at developing relationships with others and maintaining them.  
they excel at inspiring enthusiasm, are compassionate and kind, and enjoy being with others.  
generous, they love helping others with their time, money, or effort.  
they enjoy talking to people, listening to their problems, and trying to help them."
CVW,تخصص الموسيقى والآداب,music and literature,تخصص السكرتارية التنفيذية,executive secretarial studies,قصاص,storyteller,سكرتير,secretary,هواية ال(بريك دانس),break dance hobby,الأدب العربي,arabic literature,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ،
يقدرون الدقة جيدا، جديرون بالثقة
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
  يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم
 يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي.
 إبداعي، ابتكاري. مرن، متعدد المواهب. يعالج عدة مهام، متكيف.
عفوي، غير متماسك. حماسي، ذو حس فكاهي. ذو روح متحررة، طليق.","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are very good at developing and maintaining relationships with others.  
they excel at inspiring enthusiasm, are compassionate and kind, and enjoy being with others.  
generous, they love helping others with their time, money, or effort.  
they enjoy talking to people, listening to their problems, and trying to help them.  
they love taking risks, are adventurous, quick, energetic, visionary, and unconventional.  
creative and innovative, flexible, and multi-talented, they handle multiple tasks and are adaptable.  
spontaneous, disorganized, enthusiastic, with a sense of humor, free-spirited, and liberated."
CVS,تخصص الادارة المالية,financial management,تخصص التربية الخاصة,special education,مدير مؤسسة خيرية,charity director,معلم رياض اطفال,kindergarten teacher,هواية العناية بالحيوانات,animal care hobby,دبلوم ادارة الأعمال,diploma in business management,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ،
يقدرون الدقة جيدا، جديرون بالثقة
 عضو فريق، اجتماعي. ودود، محبوب. بطيء،
مسترخ. متمركز حول العملية. متفهم، صبور ، متعاون
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
 يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are a team player, sociable, friendly, and well-liked. they are slow-paced, relaxed, process-oriented, understanding, patient, and cooperative.  
they are very good at developing and maintaining relationships with others.  
they excel at inspiring enthusiasm, are compassionate and kind, and enjoy being with others.  
generous, they love helping others with their time, money, or effort.  
they enjoy talking to people, listening to their problems, and trying to help them."
CVE,تخصص ادارة الحشود والفعاليات,crowd and event management,تخصص علوم الفلسفة والمنطق,philosophy and logic,مسؤول ادارة وتخطيط الفعاليات,event management and planning officer,إخصائي اجتماعي,social worker,هواية ال(بريك دانس),break dance hobby,دبلوم مهارات التواصل,diploma in communication skills,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ،
يقدرون الدقة جيدا، جديرون بالثقة
متمركز حول الجودة. مغرم بالتفاصيل . بطيء، متأن. مركز، منهجي. منطقي، تحليلي. مُخطط منظم. لائق، دقيق. جاد، مسئول. تقليدي، محافظ. جاد، متحفظ.
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
 يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are quality-oriented, fond of details, slow, thoughtful, focused, methodical, logical, and analytical. they are organized planners, decent, precise, serious, responsible, traditional, conservative, and reserved.  
they are very good at developing and maintaining relationships with others.  
they excel at inspiring enthusiasm, are compassionate and kind, and enjoy being with others.  
generous, they love helping others with their time, money, or effort.  
they enjoy talking to people, listening to their problems, and trying to help them."
DVN,تخصص سلاسل الامداد البحرية والجوية,marine and aviation supply chain management,تخصص الصحافة والاستقصاء,journalism and investigative reporting,مفتش جمارك,customs inspector,مصور,cameraman,هواية الطبخ,cooking hobby,دبلوم إدارة اللوجستيات و سلاسل الإمداد,diploma in logistics management and supply chains,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون. يميلون للالتفات للجزئيات ، يقدرون الدقة جيدا، جديرون بالثقة
 حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس للاكتناز ، مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد ، يتمتع بحس الدعابة
لا يحب التقيد بالقوانين ، ويحاول اكتشاف الأشياء الجديدة
بنفسه","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical. they tend to focus on details, value accuracy highly, and are trustworthy.  
they are decisive, dominant, quick-moving, self-starting, confident, and authoritarian.  
they are goal-oriented, ambitious, open, direct, and determined.  
they are competitive, determined, and hard-working leaders.  
they are work-focused, reliable, driven by work, and bold.  
they tend to rely more on intuition than logic, view money as something to spend, not hoard, can be impulsive at times, are intrigued by unusual ideas, multitask, have a good sense of humor, do not like to adhere to rules, and enjoy discovering new things on their own."
DVP,تخصص هندسة الاتصالات,telecommunication engineering,تخصص التصوير والانتاج السينمائي,cinematography and film production,مهندس اتصالات,communication engineer,مصور,cameraman,هواية الطبخ,cooking hobby,دبلوم تقنية البرمجة,diploma in programming technology,"من سمات صاحب هذه الشخصية أنه: يحب التطابق، يتسم بالكفاءة وعملي، غير متخيل، و غير مرن، ويتسم بضمير حي و بالشعور بالمسؤولية. أصحاب هذا النمط يتسمون بأنهم منطقيون، منظمون، و منهجيون ، جديرون بالثقة
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس للاكتناز ، يكره الروتين ،مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد لا يدقق في التفاصيل ، يتمتع بحس الدعابة لا يحب التقيد بالقوانين ،
ويحاول اكتشاف الأشياء الجديدة بنفسه
وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في كثير من الأحيان ،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به","one of the characteristics of this personality is that they love conformity, are efficient and practical, unimaginative, and inflexible, with a strong conscience and a sense of responsibility. people with this type are logical, organized, and methodical, and trustworthy.  
they rely more on intuition than logic, see money as something to spend, not hoard, dislike routine, can be impulsive at times, are intrigued by unusual ideas, multitask, do not focus on details, have a good sense of humor, do not like to follow rules, and enjoy discovering new things on their own.  
there is a possibility of a disorder of the (bipolar) type, which may cause attention deficit with hyperactivity in childhood. this disorder affects about 1% of the population globally and is often seen as an indicator of the emergence of genius, as many great thinkers and historical geniuses are associated with it."
